secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating
"002691.XSHE","002691","XSHE",3,"中小板","CNY","石中装备","石家庄中煤装备制造股份有限公司","L","2012-07-31",,"A","沪深A股","CHN",65948,200000000,65969285,65969285,"河北省石家庄市国家高新技术开发区黄河大道89号","主营支护机具、安全钻机、掘进设备和运输机械等煤炭机械装备，是国内煤炭装备制造业的专业供应商与服务商之一。支护机具是公司的主导产品。"
"002692.XSHE","002692","XSHE",3,"中小板","CNY","远程电缆","远程电缆股份有限公司","L","2012-08-08",,"A","沪深A股","CHN",66124,326430000,107925835,107925835,"江苏省无锡市宜兴市官林镇远程路8号","电线电缆产品的设计、研发、生产与销售。"
"002693.XSHE","002693","XSHE",3,"中小板","CNY","双成药业","海南双成药业股份有限公司","L","2012-08-08",,"A","沪深A股","CHN",66078,405000000,200567975,200567975,"海南省海口市秀英区兴国路16号","专业从事化学合成多肽药品的研发、生产和销售。"
"002694.XSHE","002694","XSHE",3,"中小板","CNY","顾地科技","顾地科技股份有限公司","L","2012-08-16",,"A","沪深A股","CHN",66116,345600000,127212600,127212600,"湖北省鄂州市经济开发区吴楚大道18号","生产销售塑料管道、钢塑复合管道、铝塑复合管道、水处理器材及塑料制品；销售化工原料（不含危险化学品）；管道安装（国家有专项审批规定的，未取得相关审批文件不得经营）。"
"002695.XSHE","002695","XSHE",3,"中小板","CNY","煌上煌","江西煌上煌集团食品股份有限公司","L","2012-09-05",,"A","沪深A股","CHN",66117,126658422,42936522,42936522,"江西省南昌市迎宾大道1298号","酱卤肉制品及佐餐凉菜快捷消费食品的开发、生产和销售。"
"002696.XSHE","002696","XSHE",3,"中小板","CNY","百洋股份","百洋水产集团股份有限公司","L","2012-09-05",,"A","沪深A股","CHN",43134,176000000,79909214,79909214,"广西壮族自治区南宁市高新技术开发区创新西路16号","冷冻罗非鱼产品的生产和销售。"
"002697.XSHE","002697","XSHE",3,"中小板","CNY","红旗连锁","成都红旗连锁股份有限公司","L","2012-09-05",,"A","沪深A股","CHN",66128,800000000,307988900,307988900,"四川省成都市高新区西区迪康大道7号","批发与零售业；房屋租赁。仓储、配送（除国家限制项目）；家务服务；摄影冲洗服务；自营和代理各类商品及技术的进出口业务；销售医疗器械（仅限一类和二类中不涉及行政许可的项目）；在互联网上销售商品；零售：烟、酒（凭许可证在有效期内经营）；代办代收电信收费业务（有效期至2015年7月14日）；批发兼零售：预包装食品兼散装食品，乳制品（含婴幼儿配方乳粉）（凭许可证经营，有效期至2016年3月25日）；糕点（烘烤类糕点、蒸煮类糕点）生产（凭许可证经营，有效期至2014年12月9日）；第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和移动网信息服务）（凭许可证在有效期内经营）；以下限分支机构凭许可证在有效期内经营：打字、复印。零售国内图书期刊；茶座；中餐不含加工外卖，含凉菜；零售中成药、化学药制剂、生物制品（不含预防性生物制品）、生化药品（限分支机构药品专柜并在规定品种范围内经营）；冷热饮品制售，小吃（不含凉菜、裱花蛋糕、生食海产品、鲜榨果蔬汁）；客房、住宿；票务服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"002698.XSHE","002698","XSHE",3,"中小板","CNY","博实股份","哈尔滨博实自动化股份有限公司","L","2012-09-11",,"A","沪深A股","CHN",66084,401000000,106929901,106929901,"黑龙江省哈尔滨市开发区迎宾路集中区东湖街9号","从事自动化设备的开发、生产、销售、调试、维修、技术服务、技术转让；自动化设备、生产设备的安装、装配、安置。计算机软件开发、技术服务及产品销售，系统集成。经销：仪器、仪表、电气元件、办公自动化设备、消耗品、化工产品（不含危险品、剧毒品、易燃易爆品）。自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品及技术除外。"
"002699.XSHE","002699","XSHE",3,"中小板","CNY","美盛文化","美盛文化创意股份有限公司","L","2012-09-11",,"A","沪深A股","CHN",65886,411400000,138820000,138820000,"浙江省绍兴市新昌县省级高新技术园区内(南岩)","动漫衍生产品设计开发；动漫饰品、节日礼品及工艺品开发设计、生产和销售；动漫制作；生产、销售：服装、工艺品的辅助材料；货物进出口。"
"002700.XSHE","002700","XSHE",3,"中小板","CNY","新疆浩源","新疆浩源天然气股份有限公司","L","2012-09-21",,"A","沪深A股","CHN",66023,234681600,95641600,95641600,"新疆维吾尔自治区阿克苏地区英阿瓦提路2号","经营范围：许可经营项目：天然气销售、运输。一般经营项目：管道工程专业承包叁级；代收服务费；燃气设备材料销售及中介、天然气业务中介咨询及技术服务。"
"002701.XSHE","002701","XSHE",3,"中小板","CNY","奥瑞金","奥瑞金包装股份有限公司","L","2012-10-11",,"A","沪深A股","CHN",65924,613340000,324115000,324115000,"北京市怀柔区雁栖工业开发区","食品饮料金属包装产品的研发、设计、生产和销售。"
